activity_id,customer_id,activity_timestamp,activity_type,device_type,platform,session_duration
ACT000224,CUST46579,2025-09-25,Payment,Mobile,Web,6.75
ACT000225,CUST21551,2024-01-26,Profile update,Desktop,Web,4.12
ACT000226,CUST27419,2027-02-19,View Account,Mobile,Web,10.02
ACT000227,CUST12860,2025-07-15,Logout,Mobile,iOS,11.49
ACT000228,CUST43690,2026-05-25,Payment,Mobile,Android,12.21
ACT000229,CUST07751,2025-05-13,Login,,iOS,26.41
ACT000230,CUST10792,2026-04-20,View Account,Mobile,iOS,2.93
ACT000231,CUST08642,2026-12-02,View Account,Mobile,iOS,23.35
ACT000232,CUST42274,2026-03-02,View Account,Mobile,iOS,8.87
ACT000233,CUST05578,2025-10-27,View Account,Desktop,iOS,2.52
ACT000234,CUST46650,2023-10-11,Login,Mobile,Web,13.07
ACT000235,CUST36441,2026-03-09,Logout,Desktop,Android,6.85
ACT000236,CUST46796,2025-03-13,Transfer,Desktop,Web,7.85
ACT000237,CUST45765,2026-04-30,Deposit,Desktop,iOS,21.0
ACT000238,CUST05078,2025-04-15,Transfer,Mobile,Android,6.84
ACT000239,CUST28925,2027-02-20,View Account,Mobile,Web,6.13
ACT000240,CUST13458,2027-07-16,Logout,Mobile,Windows,18.71
ACT000241,CUST30695,2025-11-10,Login,Mobile,Android,3.94
ACT000242,CUST44299,2026-06-17,Withdrawal,Mobile,Android,9.39
ACT000243,CUST43211,2027-03-26,Login,Desktop,Web,20.9
ACT000244,CUST00430,2025-10-25,View Account,Mobile,Android,5.36
ACT000245,CUST42386,2026-06-23,Logout,Mobile,Windows,9.99
ACT000246,CUST03786,2026-06-03,View Account,Mobile,Windows,4.77
ACT000247,CUST24558,2023-09-20,Login,Mobile,Android,14.44
ACT000248,CUST47640,2029-04-28,Login,Tablet,Android,68.2
ACT000249,CUST22467,2026-02-26,Transfer,Mobile,Android,7.09
ACT000250,CUST35727,2026-06-18,View Account,Mobile,iOS,17.36
ACT000251,CUST31808,2025-07-07,View Account,Mobile,Web,3.14
ACT000252,CUST15210,2028-01-23,View Account,Mobile,Android,75.64
ACT000253,CUST16403,2029-01-22,View Account,Mobile,Windows,22.0
ACT000254,CUST44005,2025-01-13,Profile Update,Mobile,iOS,28.91
ACT000255,CUST29676,2027-01-03,Transfer,Mobile,iOS,27.28
ACT000256,CUST16790,2026-04-04,View Account,Desktop,iOS,3.95
ACT000257,CUST24815,2026-03-21,login,Mobile,Web,18.51
ACT000258,CUST32861,2028-02-07,Login,,Web,14.21
ACT000259,CUST29849,2027-01-04,Login,Tablet,Web,69.81
ACT000260,CUST12328,2026-08-03,Transfer,Desktop,iOS,44.87
ACT000261,CUST47260,2025-05-07,Withdrawal,Desktop,Android,28.84
ACT000262,CUST00170,2027-02-28,View Account,Desktop,iOS,34.39
ACT000263,CUST28148,2028-01-04,Profile Update,Mobile,iOS,29.65
ACT000264,CUST21112,2027-07-17,Payment,Mobile,iOS,9.01
ACT000265,CUST17674,2024-10-08,Withdrawal,Mobile,Android,25.32
ACT000266,CUST44420,2024-05-16,Login,Mobile,Android,12.56
ACT000267,CUST15594,2025-08-30,Logout,Mobile,Android,7.5
ACT000268,CUST01249,2024-10-17,Logout,Mobile,Android,17.45
ACT000269,CUST26577,2026-10-28,Login,Mobile,Android,28.87
ACT000270,CUST18880,2025-07-28,Login,Mobile,Android,15.34
ACT000271,CUST26631,2026-01-01,View Account,Tablet,Android,10.8
ACT000272,CUST32748,2025-01-10,Profile Update,Mobile,Web,34.09
ACT000273,CUST10207,2026-11-23,Login,Mobile,Windows,12.75
ACT000274,CUST45671,2023-09-18,View Account,Mobile,Android,9.88
ACT000275,CUST24624,2023-05-18,Transfer,Desktop,Android,9.02
ACT000276,CUST34293,2027-07-05,Login,Mobile,Android,48.76
ACT000277,CUST44205,2025-07-22,Logout,Mobile,Web,35.29
ACT000278,CUST05420,2025-11-21,Withdrawal,Mobile,Android,10.52
ACT000279,CUST41637,2027-06-17,Transfer,Mobile,Android,7.87
ACT000280,CUST47708,2024-07-28,Payment,Desktop,iOS,
ACT000281,CUST26372,2027-09-06,View Account,Mobile,Android,11.12
ACT000282,CUST02467,2024-05-05,Login,Mobile,iOS,18.1
ACT000283,CUST43558,2027-08-16,View Account,Mobile,iOS,48.96
ACT000284,CUST35440,2028-05-03,View Account,Mobile,iOS,146.26
ACT000285,CUST22893,2025-03-17,View Account,Mobile,Web,
ACT000286,CUST43114,2026-07-08,View Account,Mobile,Web,7.89
ACT000287,CUST22333,2025-11-26,Login,Mobile,Android,45.6
ACT000288,CUST31960,2025-11-25,Logout,Mobile,Android,13.65
ACT000289,CUST25334,2026-10-19,View Account,Mobile,iOS,5.66
ACT000290,CUST11655,2024-04-07,Login,Desktop,Android,33.83
ACT000291,CUST37670,2025-10-10,View Account,Tablet,iOS,71.02
ACT000292,CUST16041,2029-07-12,View Account,Mobile,iOS,4.16
ACT000293,CUST38116,2025-07-22,Withdrawal,Mobile,iOS,26.38
ACT000294,CUST18645,2024-02-22,View Account,Desktop,iOS,39.78
ACT000295,CUST12941,2026-01-19,Transfer,,iOS,18.69
ACT000296,CUST29251,2025-11-14,View Account,Mobile,iOS,6.14
ACT000297,CUST20409,2024-03-04,Transfer,Tablet,Windows,13.76
ACT000298,CUST25012,2023-09-13,View Account,Mobile,iOS,23.04
ACT000299,CUST23194,2027-05-14,Login,Desktop,Android,20.79
ACT000300,CUST19768,2027-08-06,View Account,Mobile,Web,18.72
ACT000301,CUST49798,2024-12-07,View Account,Desktop,iOS,32.74
ACT000302,CUST28199,2024-09-13,Withdrawal,Mobile,iOS,6.41
ACT000303,CUST29509,2024-11-26,View Account,Mobile,Web,5.7
ACT000304,CUST32606,2026-08-05,Logout,Mobile,Android,53.36
ACT000305,CUST34455,2024-11-02,Transfer,Mobile,Web,30.63
ACT000306,CUST06695,2026-11-12,Login,Mobile,Android,14.98
ACT000307,CUST23473,2027-03-15,Logout,Mobile,iOS,14.26
ACT000308,CUST11745,2028-10-30,Logout,,Android,39.62
ACT000309,CUST29188,2025-02-16,Transfer,Mobile,Web,18.46
ACT000310,CUST10686,2027-05-09,Withdrawal,Mobile,Android,25.92
ACT000311,CUST11954,2028-04-07,View Account,Mobile,Android,17.98
ACT000312,CUST12629,2024-04-05,View Account,,iOS,
ACT000313,CUST18435,2026-05-09,Logout,Mobile,Android,18.5
ACT000314,CUST06770,2025-12-14,Withdrawal,Desktop,Windows,30.03
ACT000315,CUST11576,2027-06-04,View Account,Tablet,Android,21.6
ACT000316,CUST23974,2027-11-22,Login,Mobile,windows,9.59
ACT000317,CUST37789,2024-05-06,Payment,Mobile,Android,14.7
ACT000318,CUST05609,2024-04-04,Login,Tablet,iOS,4.96
ACT000319,CUST22209,2028-09-08,Login,Desktop,Web,21.08
ACT000320,CUST19611,2028-12-20,LOGOUT,Tablet ,Windows,15.43
ACT000321,CUST06780,2028-05-16,View Account,Mobile,iOS,5.06
ACT000322,CUST14683,2026-11-17,Transfer,Mobile,Web,19.35
ACT000323,CUST25988,2024-09-07,Logout,Mobile,iOS,33.14
ACT000324,CUST12546,2024-01-11,Transfer,Desktop,Android,21.93
ACT000325,CUST24412,2027-04-05,View Account,Mobile,Android,7.52
ACT000326,CUST43372,2025-07-20,Payment,,Web,2.19
ACT000327,CUST33410,2024-08-29,Login,Desktop,Web,14.77
ACT000328,CUST09572,2026-02-12,Transfer,Desktop,iOS,-105.0
ACT000329,CUST09206,2027-02-24,Transfer,Mobile,iOS,12.93
ACT000330,CUST46853,2025-11-02,View Account,Mobile,Android,21.41
ACT000331,CUST49536,2024-10-29,View Account,Mobile,iOS,38.82
ACT000332,CUST12217,2025-08-03,Deposit,Mobile,Web,9.82
ACT000333,CUST48384,2028-01-15,Deposit,Mobile,Windows,7.36
ACT000334,CUST21341,2026-01-04,Payment,Mobile,Android,2.45
ACT000335,CUST07788,2023-07-16,View Account,Mobile,Windows,78.47
ACT000336,CUST02439,2026-12-17,Logout,Mobile,iOS,10.2
ACT000337,CUST05905,2027-05-16,Transfer,Mobile,iOS,9.14
ACT000338,CUST47325,2024-01-26,View Account,Tablet,Android,8.11
ACT000339,CUST30260,2025-08-09,,Desktop,Windows,8.37
ACT000340,CUST26537,2026-11-03,Profile Update,Desktop,Windows,12.22
ACT000341,CUST26625,2025-04-08,,Mobile,Android,13.05
ACT000342,CUST38018,2028-05-11,View Account,Mobile,Android,7.78
ACT000343,CUST11264,2026-12-12,Transfer,Mobile,Android,9.05
ACT000344,CUST04083,2025-01-21,Login,Tablet,iOS,0.0
ACT000345,CUST06128,2027-09-08,Login,Mobile,Android,16.68
ACT000346,CUST42824,2026-09-03,Deposit,Mobile,Android,14.81
ACT000347,CUST29079,2026-05-10,View Account,Mobile,Android,9.99
ACT000348,CUST01144,2027-07-21,Logout,Mobile,Android,1.59
ACT000349,CUST47292,2026-03-24,Transfer,Desktop,Windows,8.41
ACT000350,CUST33544,2028-07-12,Deposit,Mobile,iOS,8.17
ACT000351,CUST21240,2026-09-29,View Account,Tablet,Windows,49.37
ACT000352,CUST27494,2027-03-02,Transfer,Desktop,Web,9.54
ACT000353,CUST30037,2025-10-06,Logout,Desktop,iOS,2.72
ACT000354,CUST25362,2026-01-15,Logout,,Android,35.44
ACT000355,CUST04708,2025-05-10,Payment,Desktop,Web,6.28
ACT000356,CUST19435,2024-06-01,View Account,Mobile,iOS,45.57
ACT000357,CUST43549,2028-12-24,Payment,Desktop,Android,20.1
ACT000358,CUST11074,2029-01-02,Profile Update,Desktop,iOS,13.44
ACT000359,CUST43363,2026-10-30,Login,Mobile,Windows,30.94
ACT000360,CUST45976,2025-04-04,Login,Desktop,Web,12.63
ACT000361,CUST39828,2026-11-07,,Mobile,Web,13.63
ACT000362,CUST04858,2026-11-13,Payment,Desktop,Android,27.85
ACT000363,CUST20505,2024-02-16,View Account,Mobile,iOS,3.46
ACT000364,CUST02186,2026-05-18,Logout,Tablet,Android,20.7
ACT000365,CUST05541,2026-07-08,Login,Desktop,iOS,22.77
ACT000366,CUST42478,2028-01-24,Transfer,Tablet,Android,62.7
ACT000367,CUST41404,2024-07-14,View Account,Desktop,Android,14.19
ACT000368,CUST30617,2026-02-02,Withdrawal,Mobile,iOS,8.02
ACT000369,CUST46550,2025-03-05,Deposit,Mobile,Android,23.84
ACT000370,CUST39357,2026-09-21,View Account,Mobile,iOS,18.12
ACT000371,CUST46406,2027-01-16,Profile Update,Mobile,Android,23.84
ACT000372,CUST27072,2024-08-04,Transfer,Mobile,Windows,42.61
ACT000373,CUST32092,2024-10-11,View Account,,Web,1.31
ACT000374,CUST22071,2025-12-08,View Account,Mobile,iOS,28.47
ACT000375,CUST45200,2027-10-08,View Account,Mobile,Windows,7.98
ACT000376,CUST08825,2026-08-20,Withdrawal,Mobile,Web,10.03
ACT000377,CUST26348,2025-09-08,Withdrawal,Mobile,Android,36.4
ACT000378,CUST49768,2027-05-05,View Account,Mobile,Windows,74.19
ACT000379,CUST03194,2028-08-04,View Account,Mobile,Android,12.49
ACT000380,CUST16999,2024-06-17,View Account,Desktop,Web,30.15
ACT000381,CUST42597,2024-12-19,Logout,Mobile,iOS,13.06
ACT000382,CUST20136,2026-07-10,View Account,,Android,45.87
ACT000383,CUST23361,2025-11-03,Login,Desktop,Web,3.09
ACT000384,CUST27380,2027-09-05,Login,,Web,6.45
ACT000385,CUST11614,2027-04-25,Withdrawal,Mobile,Android,33.14
ACT000386,CUST04242,2026-01-02,View Account,Desktop,iOS,12.04
ACT000387,CUST16675,2024-09-04,View Account,Mobile,iOS,26.34
ACT000388,CUST35451,2027-09-29,View Account,Mobile,Web,60.42
ACT000389,CUST22257,2026-03-26,Login,,Windows,3.77
ACT000390,CUST11436,2026-10-25,Payment,Mobile,Web,26.69
ACT000391,CUST47593,2026-03-07,Profile update,Mobile,iOS,13.63
ACT000392,CUST07441,2029-04-21,Withdrawal,Mobile,Android,37.52
ACT000393,CUST30697,2028-06-01,Withdraw,Mobile,Windows,10.39
ACT000394,CUST46599,2027-11-23,View Account,Mobile,Android,55.46
